"PG.Genes","PG.ProteinAccessions","PG.ProteinDescriptions","PG.ProteinNames"
"KLF4","A0A087X0S4","Krueppel-like factor 4","A0A087X0S4_HUMAN"
"LRRC41","A0A087X0S7","Leucine-rich repeat-containing protein 41","A0A087X0S7_HUMAN"
"ZBTB8OS","A0A087X0V4;A0A8C8MQ05;A8K0B5;D3DPQ2;Q8IWT0","Protein archease","A0A087X0V4_HUMAN;A0A8C8MQ05_HUMAN;A8K0B5_HUMAN;D3DPQ2_HUMAN;ARCH_HUMAN"
"ZNG1A;ZNG1B;ZNG1B;ZNG1A","A0A087X140;C9J3G2;Q8IUF1;Q9BRT8","Zinc-regulated GTPase metalloprotein activator 1A;Zinc-regulated GTPase metalloprotein activator 1B;Zinc-regulated GTPase metalloprotein activator 1B;Zinc-regulated GTPase metalloprotein activator 1A","A0A087X140_HUMAN;C9J3G2_HUMAN;ZNG1B_HUMAN;ZNG1A_HUMAN"
"ARFIP2","A0A087X1E4;P53365","Arfaptin-2","A0A087X1E4_HUMAN;ARFP2_HUMAN"
"KLF13","A0A087X1K6;Q9Y2Y9","Krueppel-like factor 13","A0A087X1K6_HUMAN;KLF13_HUMAN"
"LYPLA1","A0A087X1K9;O75608","palmitoyl-protein hydrolase;Acyl-protein thioesterase 1","A0A087X1K9_HUMAN;LYPA1_HUMAN"
"PCDHGC3","A0A087X1P2;Q9UN70","Protocadherin gamma-C3 (Fragment);Protocadherin gamma-C3","A0A087X1P2_HUMAN;PCDGK_HUMAN"
"HUWE1","A0A087X1S3","E3 ubiquitin-protein ligase HUWE1 (Fragment)","A0A087X1S3_HUMAN"
"TUBGCP5","A0A087X1Z1;A0A0G2JPW5;A0A0G2JQX1;A0A0G2JSA7;Q96RT8","Gamma-tubulin complex component;Gamma-tubulin complex component;Gamma-tubulin complex component;Gamma-tubulin complex component;Gamma-tubulin complex component 5","A0A087X1Z1_HUMAN;A0A0G2JPW5_HUMAN;A0A0G2JQX1_HUMAN;A0A0G2JSA7_HUMAN;GCP5_HUMAN"
"PSME2","A0A087X1Z3;Q9UL46","Proteasome activator complex subunit 2","A0A087X1Z3_HUMAN;PSME2_HUMAN"
"MID1","A0A087X255","E3 ubiquitin-protein ligase Midline-1","A0A087X255_HUMAN"
"WASHC4","A0A087X256;Q2M389","WASH complex subunit 4","A0A087X256_HUMAN;WASC4_HUMAN"
"MRPL45","A0A087X2D5;Q9BRJ2","39S ribosomal protein L45, mitochondrial;39S ribosomal protein L45, mitochondrial","A0A087X2D5_HUMAN;RM45_HUMAN"
"BARD1","A0A087X2H0;C9IYG1;F6MDI1;Q99728","BRCA1-associated RING domain protein 1;BRCA1-associated RING domain protein 1;BRCA1 associated RING domain 1 isoform delta;BRCA1-associated RING domain protein 1","A0A087X2H0_HUMAN;C9IYG1_HUMAN;F6MDI1_HUMAN;BARD1_HUMAN"
"HECTD1","A0A087X2H1;Q9ULT8","E3 ubiquitin-protein ligase;E3 ubiquitin-protein ligase HECTD1","A0A087X2H1_HUMAN;HECD1_HUMAN"
"PSMC6","A0A087X2I1;P62333","26S proteasome regulatory subunit 10B","A0A087X2I1_HUMAN;PRS10_HUMAN"
"LSM7","A0A087X2I5;Q9UK45","U6 snRNA-associated Sm-like protein LSm7","A0A087X2I5_HUMAN;LSM7_HUMAN"
"WDR20","A0A088AWN2;Q8TBZ3","WD repeat-containing protein 20","A0A088AWN2_HUMAN;WDR20_HUMAN"
"DOCK9","A0A088AWN3;A0A804HIE8;X6RGR3","Dedicator of cytokinesis protein 9","A0A088AWN3_HUMAN;A0A804HIE8_HUMAN;X6RGR3_HUMAN"
"PRUNE2","A0A088AWP5;Q8WUY3","Protein prune homolog 2","A0A088AWP5_HUMAN;PRUN2_HUMAN"
"ADSL","A0A096LNY6;A0A1B0GTJ7;A0A1B0GWJ0;A0A7P0T9A7;A0A7P0Z472;P30566","Adenylosuccinate lyase","A0A096LNY6_HUMAN;A0A1B0GTJ7_HUMAN;A0A1B0GWJ0_HUMAN;A0A7P0T9A7_HUMAN;A0A7P0Z472_HUMAN;PUR8_HUMAN"
"GPS1","A0A096LP07;A0A096LPJ3;A8K070","COP9 signalosome complex subunit 1","A0A096LP07_HUMAN;A0A096LPJ3_HUMAN;A8K070_HUMAN"
"AAK1","A0A096LP25","AP2-associated protein kinase 1","A0A096LP25_HUMAN"
"TRIM39-RPP21;RPP21;RPP21;RPP21;RPP21;RPP21","A0A096LP39;A0A0G2JJ26;A0A0G2JJ52;A0A140T9R9;A0A140TA46;Q9H633","Ribonuclease P protein subunit p21;Ribonuclease P protein subunit p21;Ribonuclease P protein subunit p21;RPP21;Ribonuclease P protein subunit p21;Ribonuclease P protein subunit p21","A0A096LP39_HUMAN;A0A0G2JJ26_HUMAN;A0A0G2JJ52_HUMAN;A0A140T9R9_HUMAN;A0A140TA46_HUMAN;RPP21_HUMAN"
"ATRX","A0A096LP59","Transcriptional regulator ATRX (Fragment)","A0A096LP59_HUMAN"
"CD99","A0A096LP69","CD99 antigen","A0A096LP69_HUMAN"
"RTF2","A0A0A0MQR2;Q9BY42","Replication termination factor 2","A0A0A0MQR2_HUMAN;RTF2_HUMAN"
"PHF20L1","A0A0A0MQS0;A8MW92;F8W9L8","PHD finger protein 20-like protein 1","A0A0A0MQS0_HUMAN;P20L1_HUMAN;F8W9L8_HUMAN"
"PYCR3","A0A0A0MQS1;Q53H96","Pyrroline-5-carboxylate reductase;Pyrroline-5-carboxylate reductase 3","A0A0A0MQS1_HUMAN;P5CR3_HUMAN"
"CLASRP","A0A0A0MQS2;F5H0Q6","CLK4-associating serine/arginine-rich protein","A0A0A0MQS2_HUMAN;F5H0Q6_HUMAN"
"WDR83OS","A0A0A0MQS5;Q9Y284","PAT complex subunit Asterix","A0A0A0MQS5_HUMAN;ASTER_HUMAN"
"DCAF10","A0A0A0MQT4;Q5QP82","DDB1- and CUL4-associated factor 10","A0A0A0MQT4_HUMAN;DCA10_HUMAN"
"SCLY","A0A0A0MQU4;Q96I15","Selenocysteine lyase","A0A0A0MQU4_HUMAN;SCLY_HUMAN"
"FGF2","A0A0A0MQV6;P09038","Fibroblast growth factor;Fibroblast growth factor 2","A0A0A0MQV6_HUMAN;FGF2_HUMAN"
"KSR1","A0A0A0MQW1;A0A2R8Y4X0;A0A2R8Y5H9;A8MY87;Q8IVT5","non-specific serine/threonine protein kinase;non-specific serine/threonine protein kinase;non-specific serine/threonine protein kinase;non-specific serine/threonine protein kinase (Fragment);Kinase suppressor of Ras 1","A0A0A0MQW1_HUMAN;A0A2R8Y4X0_HUMAN;A0A2R8Y5H9_HUMAN;A8MY87_HUMAN;KSR1_HUMAN"
"MBNL1","A0A0A0MQX8;C9JP00;Q9NR56","Muscleblind-like protein 1","A0A0A0MQX8_HUMAN;C9JP00_HUMAN;MBNL1_HUMAN"
"VDAC2","A0A0A0MR02;P45880","Voltage-dependent anion-selective channel protein 2 (Fragment);Voltage-dependent anion-selective channel protein 2","A0A0A0MR02_HUMAN;VDAC2_HUMAN"
"SEC11C","A0A0A0MR04;B4DI03;K7EJQ7;Q9BY50","Signal peptidase complex catalytic subunit SEC11C;Signal peptidase complex catalytic subunit SEC11;Signal peptidase complex catalytic subunit SEC11;Signal peptidase complex catalytic subunit SEC11C","A0A0A0MR04_HUMAN;B4DI03_HUMAN;K7EJQ7_HUMAN;SC11C_HUMAN"
"GNAS","A0A0A0MR13;A0A590UJQ9;A0A7I2V5R6;B0AZR9;P63092;Q5JWF2","Guanine nucleotide-binding protein G(s) subunit alpha isoforms short;Guanine nucleotide-binding protein G(s) subunit alpha isoforms short;Guanine nucleotide-binding protein G(s) subunit alpha isoforms short;GNAS complex locus, isoform CRA_b;Guanine nucleotide-binding protein G(s) subunit alpha isoforms short;Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas","A0A0A0MR13_HUMAN;A0A590UJQ9_HUMAN;A0A7I2V5R6_HUMAN;B0AZR9_HUMAN;GNAS2_HUMAN;GNAS1_HUMAN"
"CEP192","A0A0A0MR42;H0Y966;K7ENP4;Q8TEP8","Centrosomal protein of 192 kDa;Centrosomal protein of 192 kDa (Fragment);Centrosomal protein of 192 kDa (Fragment);Centrosomal protein of 192 kDa","A0A0A0MR42_HUMAN;H0Y966_HUMAN;K7ENP4_HUMAN;CE192_HUMAN"
"FADS1","A0A0A0MR51","Acyl-CoA (8-3)-desaturase","A0A0A0MR51_HUMAN"
"CACNA1C","A0A0A0MR67;A0A0A0MSA1;A0A5F9ZHD9;A0A804HIZ0;A0A804HKE9;E9PDI6;F5GY28;F5H522;F5H638;Q13936","Voltage-dependent L-type calcium channel subunit alpha;Voltage-dependent L-type calcium channel subunit alpha;Voltage-dependent L-type calcium channel subunit alpha-1C;Voltage-dependent L-type calcium channel subunit alpha;Voltage-dependent L-type calcium channel subunit alpha;Voltage-dependent L-type calcium channel subunit alpha;Voltage-dependent L-type calcium channel subunit alpha;Voltage-dependent L-type calcium channel subunit alpha;Voltage-dependent L-type calcium channel subunit alpha;Voltage-dependent L-type calcium channel subunit alpha-1C","A0A0A0MR67_HUMAN;A0A0A0MSA1_HUMAN;A0A5F9ZHD9_HUMAN;A0A804HIZ0_HUMAN;A0A804HKE9_HUMAN;E9PDI6_HUMAN;F5GY28_HUMAN;F5H522_HUMAN;F5H638_HUMAN;CAC1C_HUMAN"
"SYN3","A0A0A0MR68;O14994","Synapsin-3","A0A0A0MR68_HUMAN;SYN3_HUMAN"
"MED12","A0A0A0MR79;A0A8I5KUR0;A0A8I5KW86;A0A8I5QJW8;Q93074","Mediator of RNA polymerase II transcription subunit 12","A0A0A0MR79_HUMAN;A0A8I5KUR0_HUMAN;A0A8I5KW86_HUMAN;A0A8I5QJW8_HUMAN;MED12_HUMAN"
"NADK","A0A0A0MR98","NAD(+) kinase","A0A0A0MR98_HUMAN"
"EPB41L3","A0A0A0MRA8;A8K968;Q9Y2J2","Band 4.1-like protein 3","A0A0A0MRA8_HUMAN;A8K968_HUMAN;E41L3_HUMAN"
"MUC1","A0A0A0MRB3;A0A0C4DGW3;B1AVQ7;P15941","Mucin-1","A0A0A0MRB3_HUMAN;A0A0C4DGW3_HUMAN;B1AVQ7_HUMAN;MUC1_HUMAN"
"MADD","A0A0A0MRB5","MAP kinase-activating death domain protein","A0A0A0MRB5_HUMAN"
"ASAP1","A0A0A0MRE5;H0YBF7;Q9ULH1","Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 1;Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 1 (Fragment);Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 1","A0A0A0MRE5_HUMAN;H0YBF7_HUMAN;ASAP1_HUMAN"
"TEAD4","A0A0A0MRF3;Q15561;Q53GI4","Transcriptional enhancer factor TEF-3;Transcriptional enhancer factor TEF-3;TEA domain family member 4 isoform 1 variant (Fragment)","A0A0A0MRF3_HUMAN;TEAD4_HUMAN;Q53GI4_HUMAN"
"AKAP9","A0A0A0MRF6;A0A7P0T8N5;A0A7P0T928;A0A7P0T939;A0A7P0TAX3;A0A7P0TBH8;A0A7P0Z4N5;A0A7P0Z4Q5;Q99996","A-kinase anchor protein 9","A0A0A0MRF6_HUMAN;A0A7P0T8N5_HUMAN;A0A7P0T928_HUMAN;A0A7P0T939_HUMAN;A0A7P0TAX3_HUMAN;A0A7P0TBH8_HUMAN;A0A7P0Z4N5_HUMAN;A0A7P0Z4Q5_HUMAN;AKAP9_HUMAN"
"GPALPP1","A0A0A0MRI1;Q8IXQ4","GPALPP motifs-containing protein 1","A0A0A0MRI1_HUMAN;GPAM1_HUMAN"
"SNX6","A0A0A0MRI2","Sorting nexin","A0A0A0MRI2_HUMAN"
"ARV1","A0A0A0MRI7;H7C484;Q9H2C2","Protein ARV;Protein ARV (Fragment);Protein ARV1","A0A0A0MRI7_HUMAN;H7C484_HUMAN;ARV1_HUMAN"
"CDC42BPA","A0A0A0MRJ0;A0A0A0MRJ1;Q5VT25","non-specific serine/threonine protein kinase;non-specific serine/threonine protein kinase;Serine/threonine-protein kinase MRCK alpha","A0A0A0MRJ0_HUMAN;A0A0A0MRJ1_HUMAN;MRCKA_HUMAN"
"ATF3","A0A0A0MRJ2;P18847;Q5VTZ4","Cyclic AMP-dependent transcription factor ATF-3 (Fragment);Cyclic AMP-dependent transcription factor ATF-3;Cyclic AMP-dependent transcription factor ATF-3 (Fragment)","A0A0A0MRJ2_HUMAN;ATF3_HUMAN;Q5VTZ4_HUMAN"
"F5","A0A0A0MRJ7;P12259","Coagulation factor V","A0A0A0MRJ7_HUMAN;FA5_HUMAN"
"MYO6","A0A0A0MRM8","Unconventional myosin-VI","A0A0A0MRM8_HUMAN"
"NOLC1","A0A0A0MRM9","Nucleolar and coiled-body phosphoprotein 1 (Fragment)","A0A0A0MRM9_HUMAN"
"HENMT1","A0A0A0MRN1;Q5T8I9;X6RGV9","Small RNA 2'-O-methyltransferase;Small RNA 2'-O-methyltransferase;Small RNA 2'-O-methyltransferase (Fragment)","A0A0A0MRN1_HUMAN;HENMT_HUMAN;X6RGV9_HUMAN"
"SMARCA1","A0A0A0MRP6;B7ZLQ5;P28370","Probable global transcription activator SNF2L1","A0A0A0MRP6_HUMAN;B7ZLQ5_HUMAN;SMCA1_HUMAN"
"ZNF691","A0A0A0MRR1;Q5VV50;Q5VV52","Zinc finger protein 691 (Fragment);Zinc finger protein 691;Zinc finger protein 691","A0A0A0MRR1_HUMAN;Q5VV50_HUMAN;ZN691_HUMAN"
"UPRT","A0A0A0MRR5;Q96BW1","Uracil phosphoribosyltransferase homolog","A0A0A0MRR5_HUMAN;UPP_HUMAN"
"SNRPC","A0A0A0MRR7;P09234","U1 small nuclear ribonucleoprotein C","A0A0A0MRR7_HUMAN;RU1C_HUMAN"
"ABI1","A0A0A0MRT6;B6VEX4;Q8IZP0","Abl interactor 1","A0A0A0MRT6_HUMAN;B6VEX4_HUMAN;ABI1_HUMAN"
"MPP2","A0A0A0MRU0;A0A0C4DH75;B4DZ84;D3DX48;D3DX49;Q14168","MAGUK p55 subfamily member 2","A0A0A0MRU0_HUMAN;A0A0C4DH75_HUMAN;B4DZ84_HUMAN;D3DX48_HUMAN;D3DX49_HUMAN;MPP2_HUMAN"
"WRAP73","A0A0A0MRV3;Q9P2S5","WD repeat domain 8, isoform CRA_c;WD repeat-containing protein WRAP73","A0A0A0MRV3_HUMAN;WRP73_HUMAN"
"PRXL2B","A0A0A0MRV4;A0A0A0MT35;A0A0G2JRR6;A0A0G2JSF1;A0A2P0CTB1;A0A2P0CTH9;A0A2P0CU24;J3KPF5;J3KPF6;J3KRV9;J3QKK8;Q8TBF2","Prostamide/prostaglandin F synthase;Prostamide/prostaglandin F synthase;Prostamide/prostaglandin F synthase (Fragment);Prostamide/prostaglandin F synthase (Fragment);Prostamide/prostaglandin F synthase;Prostamide/prostaglandin F synthase;Prostamide/prostaglandin F synthase;Prostamide/prostaglandin F synthase;Prostamide/prostaglandin F synthase (Fragment);Prostamide/prostaglandin F synthase (Fragment);Prostamide/prostaglandin F synthase (Fragment);Prostamide/prostaglandin F synthase","A0A0A0MRV4_HUMAN;A0A0A0MT35_HUMAN;A0A0G2JRR6_HUMAN;A0A0G2JSF1_HUMAN;A0A2P0CTB1_HUMAN;A0A2P0CTH9_HUMAN;A0A2P0CU24_HUMAN;J3KPF5_HUMAN;J3KPF6_HUMAN;J3KRV9_HUMAN;J3QKK8_HUMAN;PXL2B_HUMAN"
"APTX","A0A0A0MRW7;Q7Z2E3","Aprataxin","A0A0A0MRW7_HUMAN;APTX_HUMAN"
"RGL3","A0A0A0MRX4;Q3MIN7","Ral guanine nucleotide dissociation stimulator-like 3","A0A0A0MRX4_HUMAN;RGL3_HUMAN"
"BDP1","A0A0A0MRX7;A0A0G2JN16;A0A0G2JNU3;A6H8Y1","Transcription factor TFIIIB component B'' homolog","A0A0A0MRX7_HUMAN;A0A0G2JN16_HUMAN;A0A0G2JNU3_HUMAN;BDP1_HUMAN"
"NFIB","A0A0A0MRX8;A0A1B0GW37;O00712;U3KQE8","Nuclear factor 1;Nuclear factor 1;Nuclear factor 1 B-type;Nuclear factor 1","A0A0A0MRX8_HUMAN;A0A1B0GW37_HUMAN;NFIB_HUMAN;U3KQE8_HUMAN"
"TBC1D22A","A0A0A0MRY0;Q8WUA7","TBC1 domain family member 22A","A0A0A0MRY0_HUMAN;TB22A_HUMAN"
"TNIP1","A0A0A0MRZ4;Q15025","TNFAIP3-interacting protein 1","A0A0A0MRZ4_HUMAN;TNIP1_HUMAN"
"MFF","A0A0A0MS29","Mitochondrial fission factor","A0A0A0MS29_HUMAN"
"COG4","A0A0A0MS45;A0A6I8PIQ6;J3KNI1;Q9H9E3","Conserved oligomeric Golgi complex subunit 4","A0A0A0MS45_HUMAN;A0A6I8PIQ6_HUMAN;J3KNI1_HUMAN;COG4_HUMAN"
"GSN","A0A0A0MS51;A0A0A0MT01;A0A8V8TND7;P06396","Gelsolin","A0A0A0MS51_HUMAN;A0A0A0MT01_HUMAN;A0A8V8TND7_HUMAN;GELS_HUMAN"
"OSBP2","A0A0A0MSB4;Q6ZN50;Q969R2","Oxysterol-binding protein;Oxysterol-binding protein;Oxysterol-binding protein 2","A0A0A0MSB4_HUMAN;Q6ZN50_HUMAN;OSBP2_HUMAN"
"EXOC7","A0A0A0MSB8;Q9UPT5","Exocyst complex component 7","A0A0A0MSB8_HUMAN;EXOC7_HUMAN"
"ADCY3","A0A0A0MSC1;C9JLX3;H7C1A6;O60266;U3KQ91","Adenylate cyclase type 3;adenylate cyclase (Fragment);Adenylate cyclase type 3 (Fragment);Adenylate cyclase type 3;Adenylate cyclase type 3 (Fragment)","A0A0A0MSC1_HUMAN;C9JLX3_HUMAN;H7C1A6_HUMAN;ADCY3_HUMAN;U3KQ91_HUMAN"
"RMDN2","A0A0A0MSD2;A0A0C4DFM4;H7C2J3;Q96LZ7","Regulator of microtubule dynamics protein 2;Family with sequence similarity 82, member A, isoform CRA_a;Regulator of microtubule dynamics protein 2 (Fragment);Regulator of microtubule dynamics protein 2","A0A0A0MSD2_HUMAN;A0A0C4DFM4_HUMAN;H7C2J3_HUMAN;RMD2_HUMAN"
"ERBB4","A0A0A0MSE1;Q15303","Receptor protein-tyrosine kinase;Receptor tyrosine-protein kinase erbB-4","A0A0A0MSE1_HUMAN;ERBB4_HUMAN"
"HADH","A0A0A0MSE2;A0A0D9SFP2;E9PF18;Q16836","Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial;Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial;Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial;Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial","A0A0A0MSE2_HUMAN;A0A0D9SFP2_HUMAN;E9PF18_HUMAN;HCDH_HUMAN"
"PHC2","A0A0A0MSI2;Q8IXK0","Polyhomeotic-like protein 2","A0A0A0MSI2_HUMAN;PHC2_HUMAN"
"GPSM1","A0A0A0MSK4","G-protein-signaling modulator 1","A0A0A0MSK4_HUMAN"
"NELFE","A0A0A0MSN9","Negative elongation factor E (Fragment)","A0A0A0MSN9_HUMAN"
"MON1A","A0A0A0MSQ9;Q86VX9","Vacuolar fusion protein MON1 homolog;Vacuolar fusion protein MON1 homolog A","A0A0A0MSQ9_HUMAN;MON1A_HUMAN"
"AKR1C3","A0A0A0MSS8;P42330","Aldo-keto reductase family 1 member C3","A0A0A0MSS8_HUMAN;AK1C3_HUMAN"
"C1QB","A0A0A0MSV6;A0A8Q3SI33;A0A8Q3WM25;D6R934;P02746","Complement C1q subcomponent subunit B (Fragment);Complement C1q subcomponent subunit B;Complement C1q subcomponent subunit B;Complement C1q subcomponent subunit B;Complement C1q subcomponent subunit B","A0A0A0MSV6_HUMAN;A0A8Q3SI33_HUMAN;A0A8Q3WM25_HUMAN;D6R934_HUMAN;C1QB_HUMAN"
"TAPBP","A0A0A0MSV9;A0A0G2JH37;A0A0G2JKZ1;A0A8V8TP24;A0A8V8TQC5;A2AB90;O15533","Tapasin","A0A0A0MSV9_HUMAN;A0A0G2JH37_HUMAN;A0A0G2JKZ1_HUMAN;A0A8V8TP24_HUMAN;A0A8V8TQC5_HUMAN;A2AB90_HUMAN;TPSN_HUMAN"
"TK2","A0A0A0MSY7;A0A7P0PE46;H3BP77;O00142","Thymidine kinase 2, mitochondrial;Thymidine kinase 2, mitochondrial (Fragment);Thymidine kinase 2, mitochondrial;Thymidine kinase 2, mitochondrial","A0A0A0MSY7_HUMAN;A0A7P0PE46_HUMAN;H3BP77_HUMAN;KITM_HUMAN"
"EZH1","A0A0A0MSY9;Q92800","[histone H3]-lysine(27) N-trimethyltransferase;Histone-lysine N-methyltransferase EZH1","A0A0A0MSY9_HUMAN;EZH1_HUMAN"
"ABCA13","A0A0A0MT16;Q86UQ4","ATP-binding cassette sub-family A member 13","A0A0A0MT16_HUMAN;ABCAD_HUMAN"
"LIPA","A0A0A0MT32;P38571","Lysosomal acid lipase/cholesteryl ester hydrolase","A0A0A0MT32_HUMAN;LICH_HUMAN"
"SCAF8","A0A0A0MT33;Q9UPN6","SR-related and CTD-associated factor 8","A0A0A0MT33_HUMAN;SCAF8_HUMAN"
"TCEA2","A0A0A0MT58;Q15560","Transcription elongation factor (Fragment);Transcription elongation factor A protein 2","A0A0A0MT58_HUMAN;TCEA2_HUMAN"
"IVD","A0A0A0MT83;P26440","Isovaleryl-CoA dehydrogenase, mitochondrial;Isovaleryl-CoA dehydrogenase, mitochondrial","A0A0A0MT83_HUMAN;IVD_HUMAN"
"WDR36","A0A0A0MTB8;Q8NI36","WD repeat-containing protein 36","A0A0A0MTB8_HUMAN;WDR36_HUMAN"
"RNF213","A0A0A0MTC1;A0A0A0MTR7","E3 ubiquitin-protein ligase RNF213","A0A0A0MTC1_HUMAN;A0A0A0MTR7_HUMAN"
"VARS2","A0A0A0MTG1;A0A0G2JIA5;A0A0G2JL52;A0A140T8Y0;A0A140TA35;A0A140TA36;A0A140TA40;A0A140TA45;B4E0K6;B7ZL25;Q5ST30","valine--tRNA ligase;valine--tRNA ligase;valine--tRNA ligase;valine--tRNA ligase;valine--tRNA ligase;valine--tRNA ligase;valine--tRNA ligase;valine--tRNA ligase;valine--tRNA ligase;valine--tRNA ligase;Valine--tRNA ligase, mitochondrial","A0A0A0MTG1_HUMAN;A0A0G2JIA5_HUMAN;A0A0G2JL52_HUMAN;A0A140T8Y0_HUMAN;A0A140TA35_HUMAN;A0A140TA36_HUMAN;A0A140TA40_HUMAN;A0A140TA45_HUMAN;B4E0K6_HUMAN;B7ZL25_HUMAN;SYVM_HUMAN"
"DYNC1I1","A0A0A0MTG2;O14576","Cytoplasmic dynein 1 intermediate chain 1","A0A0A0MTG2_HUMAN;DC1I1_HUMAN"
"ILK","A0A0A0MTH3;Q13418","Integrin-linked protein kinase","A0A0A0MTH3_HUMAN;ILK_HUMAN"
"DHCR24","A0A0A0MTI1","Delta(24)-sterol reductase","A0A0A0MTI1_HUMAN"
"NCEH1","A0A0A0MTJ9;Q6PIU2","Neutral cholesterol ester hydrolase 1","A0A0A0MTJ9_HUMAN;NCEH1_HUMAN"
"SKP2","A0A0A0MTL5;A0A7I2V2J7;A0A7I2V5B8;A0A7I2YQC7;D6R9R7;Q13309","S-phase kinase-associated protein 2","A0A0A0MTL5_HUMAN;A0A7I2V2J7_HUMAN;A0A7I2V5B8_HUMAN;A0A7I2YQC7_HUMAN;D6R9R7_HUMAN;SKP2_HUMAN"
"RIPOR1","A0A0A0MTL6;Q6ZS17","Rho family-interacting cell polarization regulator 1","A0A0A0MTL6_HUMAN;RIPR1_HUMAN"
"CUL2","A0A0A0MTN0;A0A8I5KUA9;A0A8I5KYP8;A0A8I5QJI3;Q13617","Cullin-2","A0A0A0MTN0_HUMAN;A0A8I5KUA9_HUMAN;A0A8I5KYP8_HUMAN;A0A8I5QJI3_HUMAN;CUL2_HUMAN"
"CCDC91","A0A0A0MTP0;F5GWR1;Q7Z6B0","Coiled-coil domain-containing protein 91;Coiled-coil domain-containing protein 91 (Fragment);Coiled-coil domain-containing protein 91","A0A0A0MTP0_HUMAN;F5GWR1_HUMAN;CCD91_HUMAN"
"OGFOD1","A0A0A0MTR2;Q8N543","Prolyl 3-hydroxylase OGFOD1","A0A0A0MTR2_HUMAN;OGFD1_HUMAN"
"HYI","A0A0A0MTR5;E7EWH8;F6UJY1;F6UJY9;J9JIE9;Q5T013","Putative hydroxypyruvate isomerase;Putative hydroxypyruvate isomerase;Putative hydroxypyruvate isomerase;Putative hydroxypyruvate isomerase (Fragment);Putative hydroxypyruvate isomerase (Fragment);Putative hydroxypyruvate isomerase","A0A0A0MTR5_HUMAN;E7EWH8_HUMAN;F6UJY1_HUMAN;F6UJY9_HUMAN;J9JIE9_HUMAN;HYI_HUMAN"
"TMEM259","A0A0A0MTU3;Q4ZIN3","Membralin","A0A0A0MTU3_HUMAN;MBRL_HUMAN"
"JAK1","A0A0A0N0M2;A0A5F9ZH07;A0A5F9ZHN8;A0A8V8TPQ9;P23458","Tyrosine-protein kinase;Tyrosine-protein kinase;Tyrosine-protein kinase;Tyrosine-protein kinase JAK1;Tyrosine-protein kinase JAK1","A0A0A0N0M2_HUMAN;A0A5F9ZH07_HUMAN;A0A5F9ZHN8_HUMAN;A0A8V8TPQ9_HUMAN;JAK1_HUMAN"
"TMED7-TICAM2;TMED7","A0A0A6YYA0;Q9Y3B3","Protein TMED7-TICAM2;Transmembrane emp24 domain-containing protein 7","A0A0A6YYA0_HUMAN;TMED7_HUMAN"
"NCAPH2","A0A0A6YYG7;Q6IBW4","Condensin-2 complex subunit H2","A0A0A6YYG7_HUMAN;CNDH2_HUMAN"
"RBAK-RBAKDN;RBAK-RBAKDN;RBAK","A0A0A6YYG8;I3L0D1;Q9NYW8","Protein RBAK-RBAKDN;HCG1647537, isoform CRA_b;RB-associated KRAB zinc finger protein","A0A0A6YYG8_HUMAN;I3L0D1_HUMAN;RBAK_HUMAN"
"C15orf38-AP3S2","A0A0A6YYH1","Arpin","A0A0A6YYH1_HUMAN"
"PPAN-P2RY11;PPAN-P2RY11;PPAN","A0A0A6YYI3;A0A0B4J1V8;Q9NQ55","Protein PPAN-P2RY11;HCG2039996;Suppressor of SWI4 1 homolog","A0A0A6YYI3_HUMAN;A0A0B4J1V8_HUMAN;SSF1_HUMAN"
"SULT1A4;SULT1A3;SULT1A4","A0A0A6YYL2;P0DMM9;P0DMN0","Sulfotransferase;Sulfotransferase 1A3;Sulfotransferase 1A4","A0A0A6YYL2_HUMAN;ST1A3_HUMAN;ST1A4_HUMAN"
"CORO7-PAM16","A0A0A6YYL4","Coronin","A0A0A6YYL4_HUMAN"
"HPD","A0A0B4J1R4;P32754","4-hydroxyphenylpyruvate dioxygenase","A0A0B4J1R4_HUMAN;HPPD_HUMAN"
"BORCS7-ASMT;BORCS7","A0A0B4J1R7;Q96B45","BLOC-1-related complex subunit 7","A0A0B4J1R7_HUMAN;BORC7_HUMAN"
"BIRC5","A0A0B4J1S3;O15392","Baculoviral IAP repeat-containing protein 5","A0A0B4J1S3_HUMAN;BIRC5_HUMAN"
"PI4KB","A0A0B4J1S8;Q9UBF8","Phosphatidylinositol 4-kinase beta","A0A0B4J1S8_HUMAN;PI4KB_HUMAN"
"HELLS","A0A0B4J1V9","Helicase, lymphoid-specific, isoform CRA_b","A0A0B4J1V9_HUMAN"
"MED24","A0A0B4J1W0;F5GY88;O75448","Mediator of RNA polymerase II transcription subunit 24","A0A0B4J1W0_HUMAN;F5GY88_HUMAN;MED24_HUMAN"
"NAA15","A0A0B4J1W3","N-alpha-acetyltransferase 15, NatA auxiliary subunit","A0A0B4J1W3_HUMAN"
